Item_Barcode,Call_Number,Catalog_Title,Catalog_Author,Created_Date,Last_Activity,Total_Charges
2.04091E+14,LT BLAC,One final breath /,"BlacBurn, Lynn Huggins,",4/12/2021,1/1/1900,0
2.04091E+14,LT GULL,A gathering in Hope /,"Gulley, Philip,",1/24/2017,10/16/2020,11
2.04091E+14,LT MOSE,Time lottery /,"Moser, Nancy.",6/12/2003,10/10/2017,27
2.04091E+14,LT MULF,The man from bar-20 : a Hopalong Casssidy novel /,"Mulford, Clarence Edward,",2/20/2014,7/7/2020,18
2.04091E+14,LT MYER,Blood of heaven /,"Myers, Bill,",7/1/1999,4/7/2017,19
2.04091E+14,LT O'CA,The granny /,"O'Carroll, Brendan,",10/18/2018,1/1/1900,0
2.04091E+14,LT PATT,In the name of honor /,"Patterson, Richard North.",7/29/2010,11/30/2017,24
2.04091E+14,LT STEE,The sins of the mother : a novel /,"Steel, Danielle",11/6/2012,12/18/2018,37
2.04091E+14,LT BLAC,In too deep /,"BlacBurn, Lynn Huggins,",3/24/2021,1/1/1900,0
2.04091E+14,LT BLY,Paperback writer /,"Bly, Stephen A.,",9/17/2004,9/30/2020,24
2.04091E+14,LT BOLI,The lost history of stars /,"Boling, Dave,",9/28/2017,2/16/2018,6
2.04091E+14,LT BRET,Laced with magic /,"Bretton, Barbara,",7/20/2021,1/1/1900,0
2.04091E+14,LT GODW,Grief cottage /,"Godwin, Gail,",6/29/2017,9/30/2020,7
2.04091E+14,LT GOUD,Woman in red /,"Goudge, Eileen.",1/16/2008,10/16/2020,45
2.04091E+14,LT GRAH,Captive /,"Graham, Heather",5/6/2004,9/30/2020,43
2.04091E+14,LT GREE,Death at Victoria dock : a Phryne Fisher mystery /,"Greenwood, Kerry,",11/9/2007,10/16/2017,13
2.04091E+14,LT STEV,Just mercy : adapted for young adults : a true story of the fight for justice /,"Stevenson, Bryan",1/18/2022,1/1/1900,0
2.04091E+14,LT SZAL,All that man is /,"Szalay, David",9/19/2017,9/30/2020,3
2.04091E+14,LT TROL,The soldier's wife /,"Trollope, Joanna.",7/18/2012,1/21/2021,22
2.04091E+14,LT ABRA,End of story /,"Abrahams, Peter,",11/9/2007,10/16/2020,15
2.04091E+14,LT BARR,Jane and the genius of the place /,"Barron, Stephanie",9/13/2000,1/23/2021,35
2.04091E+14,LT FFOR,Shades of grey : the road to High Saffron /,"Fforde, Jasper",4/20/2010,8/27/2017,7
2.04091E+14,LT HAMI,Tabloid city : a novel /,"Hamill, Pete,",7/20/2021,1/1/1900,0
2.04091E+14,LT HANN,Chasing the white lion /,"Hannibal, James R.",7/12/2021,1/1/1900,0
2.04091E+14,LT TROL,The other family /,"Trollope, Joanna.",8/5/2010,1/21/2021,19
2.04091E+14,LT YORK,Star struck dead : a Lauren Atwill mystery /,"York, Sheila",6/14/2021,1/1/1900,0
2.04091E+14,LT MICH,Razor sharp /,"Michaels, Fern,",10/20/2009,8/24/2020,21
2.04091E+14,LT MICH,Exclusive/,"Michaels, Fern,",9/28/2010,8/24/2020,35
2.04091E+14,LT MICH,Forget me not /,"Michaels, Fern,",4/4/2014,10/22/2019,33
2.04091E+14,LT MINA,Deception : a novel /,"Mina, Denise",12/20/2004,10/16/2020,34
2.04091E+14,LT NEWT,The savage hills /,"Newton, D. B. (Dwight Bennett),",5/10/2016,9/17/2016,2
2.04091E+14,LT GRAH,The unseen /,"Graham, Heather",4/17/2012,5/30/2015,19
2.04091E+15,LT TEEN COLL,Catching fire /,"Collins, Suzanne,",11/4/2015,9/30/2020,19
2.04091E+15,LT TEEN COLL,Mockingjay /,"Collins, Suzanne,",11/4/2015,9/30/2020,13
2.04091E+14,LT TEEN MEYE,Heartless /,"Meyer, Marissa",9/8/2017,9/26/2019,8
2.04091E+14,LT TEEN ROWE,Fangirl /,"Rowell, Rainbow",10/12/2016,7/3/2019,12
2.04091E+14,LT JOHA,Silent thunder /,"Johansen, Iris",9/28/2018,9/30/2020,2
2.04091E+14,LT JOHA,Shattered mirror /,"Johansen, Iris",5/8/2018,10/16/2020,6
2.04091E+14,LT GRAH,Dying breath /,"Graham, Heather",7/26/2017,9/30/2020,11
2.04091E+14,LT GRAH,Tomorrow the glory /,"Graham, Heather",12/27/2017,11/4/2020,8
2.04091E+14,LT PALM,Dangerous /,"Palmer, Diana",4/17/2019,7/7/2020,5
2.04091E+14,LT SWEE,Good company : a novel /,"Sweeney, Cynthia D'Aprix,",11/15/2021,1/1/1900,0
2.04091E+14,LT THUR,Bad faith /,"Thurlo, Aimée,",7/15/2021,1/1/1900,0
2.04091E+14,LT WOLI,Today a woman went mad in the supermarket : stories /,"Wolitzer, Hilma,",4/7/2022,1/1/1900,0
2.04091E+14,LT BURK,Feast day of fools /,"Burke, James Lee,",11/2/2011,2/24/2020,21
2.04091E+14,LT BURK,House of the rising sun /,"Burke, James Lee,",10/2/2015,2/24/2020,10
2.04091E+14,LT COMP,Red Trail /,"Shirley, John,",5/12/2021,1/1/1900,0
2.04091E+14,LT COOK,Crisis /,"Cook, Robin,",9/6/2006,11/4/2020,27
2.04091E+14,LT CUSS,The cutthroat : an Isaac Bell adventure /,"Cussler, Clive",1/10/2019,6/19/2020,0
2.04091E+14,LT CUSS,Shadow tyrants /,"Cussler, Clive",3/16/2021,1/1/1900,0
2.04091E+14,LT CUSS,Sea of greed /,"Cussler, Clive",3/16/2021,1/1/1900,0
2.04091E+14,LT CUSS,Celtic Empire /,"Cussler, Clive",3/16/2021,1/1/1900,0
2.04091E+14,LT CUSS,Final option / Clive Cussler and Boyd Morrison.,"Cussler, Clive",3/17/2021,1/1/1900,0
2.04091E+14,LT CUSS,The Titanic secret /,"Cussler, Clive",3/17/2021,1/1/1900,0
2.04091E+14,LT CUSS,The saboteurs /,"Cussler, Clive,",7/6/2021,1/1/1900,0
2.04091E+14,LT FRAN,Under orders /,"Francis, Dick.",10/25/2006,10/16/2020,21
2.04091E+14,LT FRAN,A moonbow night / SET in Kentucky ,"Frantz, Laura",4/4/2018,9/30/2020,3
2.04091E+14,LT WOLF,The Illinois Detective Agency : the case of the missing cattle /,"Wolfe, Ethan J.,",12/3/2021,1/1/1900,0
2.04091E+14,LT WOLF,Baker's dozen : a Murphy western /,"Wolfe, Ethan J.,",11/17/2021,1/1/1900,0
2.04091E+14,LT MOSL,Fear of the dark /,"Mosley, Walter",1/8/2007,9/27/2018,10
2.04091E+14,LT NEUH,Bad wolf /,"Neuhaus, Nele",5/10/2016,8/11/2017,1
2.04091E+14,LT ALBE,Holly blues /,"Albert, Susan Wittig,",7/29/2010,2/4/2020,15
2.04091E+14,LT HARR,Mama dearest /,"Harris, E. Lynn.",10/27/2009,9/30/2020,10
2.04091E+14,LT BROW,The tell-tale horse /,"Brown, Rita Mae",12/18/2007,10/16/2020,14
2.04091E+14,LT CAME,About Adam /,"Cameron, Stella,",6/6/2005,6/19/2020,31
2.04091E+14,LT CLIN,Ready player two : a novel /,"Cline, Ernest,",12/14/2020,12/17/2020,0
2.04091E+14,LT COUL,Wizard's daughter /,"Coulter, Catherine",2/12/2008,9/23/2019,30
2.04091E+14,LT HENR,The end of the road : a Maxie and Stretch mystery /,"Henry, Sue,",1/12/2010,10/16/2020,18
2.04091E+14,LT JOHA,An unexpected song /,"Johansen, Iris",10/4/2006,9/30/2020,47
2.04091E+14,LT MOSL,The last days of Ptolemy Grey /,"Mosley, Walter.",3/15/2011,10/16/2020,10
2.04091E+14,LT MULL,The spook lights affair : a Carpenter and Quincannon Mystery /,"Muller, Marcia",10/15/2018,11/4/2020,2
2.04091E+14,LT GREE,Irish linen : a Nuala Anne McGrail novel /,"Greeley, Andrew M.,",5/29/2007,3/12/2020,25
2.04091E+14,LT GRIF,The traffickers /,"Griffin, W. E. B.",8/25/2009,2/5/2016,13
2.04091E+14,LT HEND,God's gift /,"Henderson, Dee,",8/10/2005,2/18/2020,51
2.04091E+14,LT THOM,Rustler's moon /,"Thomas, Jodi",5/10/2016,3/12/2020,8
2.04091E+14,LT TRUM,Murder at the opera : a Capital crimes novel /,"Truman, Margaret,",12/28/2006,1/21/2021,15
2.04091E+14,LT BAIN,"Murder, she wrote : manuscript for murder /","Fletcher, Jessica",3/16/2021,1/1/1900,0
2.04091E+14,LT BLY,The outlaw's twin sister /,"Bly, Stephen A.,",9/5/2002,10/16/2020,57
2.04091E+14,LT CAMP,The bridal quest /,"Camp, Candace,",6/7/2021,1/1/1900,0
2.04091E+14,LT EVAN,Lost December /,"Evans, Richard Paul",12/5/2011,12/17/2019,27
2.04091E+14,LT EVAN,The total package : a novel,"Evanovich, Stephanie,",10/7/2015,9/16/2020,13
2.04091E+14,LT FEAT,To wed a wicked prince /,"Feather, Jane.",4/25/2008,2/24/2020,45
2.04091E+14,LT GENO,Inside the O'Briens /,"Genova, Lisa,",4/6/2015,9/30/2020,15
2.04091E+14,LT GODW,Flora /,"Godwin, Gail.",8/6/2013,9/30/2020,3
2.04091E+14,LT WURT,The not so quiet life of Calamity Jane /,"Wurth, K. Lyn,",11/29/2021,1/1/1900,0
2.04091E+14,LT HESS,The goodbye body : a Claire Malloy mystery /,"Hess, Joan,",8/9/2005,10/16/2020,22
2.04091E+14,LT JOHA,Deadlock /,"Johansen, Iris",5/14/2009,9/30/2020,25
2.04091E+14,LT JOHA,Storm cycle /,"Johansen, Iris",8/13/2009,9/30/2020,20
2.04091E+14,LT MULL,The night searchers /,"Muller, Marcia",7/7/2014,11/2/2017,15
2.04091E+14,LT GOUL,Dreamboat /,"Gould, Judith.",12/27/2005,10/4/2017,25
2.04091E+14,LT GRAH,Heart of evil /,"Graham, Heather",7/13/2011,9/30/2020,19
2.04091E+14,LT GRAH,Bride of the night /,"Graham, Heather",12/15/2011,9/30/2020,16
2.04091E+14,LT GRAH,Dreaming death /,"Graham, Heather",11/6/2020,11/6/2020,0
2.04091E+14,LT GRIF,The outlaws /,"Griffin, W. E. B.",2/2/2011,10/27/2017,8
2.04091E+14,LT ADLE,The last time I saw Paris /,"Adler, Elizabeth (Elizabeth A.),",9/5/2002,9/30/2020,22
2.04091E+14,LT BRAN,Silvertip's search /,"Brand, Max,",6/24/2021,1/1/1900,0
2.04091E+14,LT CLIN,The girls : a novel /,"Cline, Emma,",8/25/2016,10/16/2020,6
2.04099E+15,LT DAVI,Sweet revenge /,"Davidson, Diane Mott,",8/29/2007,9/30/2020,24
2.04091E+14,LT DOUG,Cat in a sapphire slipper : a Midnight Louie mystery /,"Douglas, Carole Nelson,",1/7/2009,12/26/2017,12
2.04091E+14,LT EVAN,Full blast /,"Evanovich, Janet",9/6/2006,2/25/2020,58
2.04091E+14,LT WICK,The hawk and the jewel /,"Wick, Lori",9/1/2000,10/29/2020,45
2.04091E+14,LT GRAH,Haunted destiny /,"Graham, Heather",6/6/2016,1/28/2018,24
2.04091E+14,LT GREY,Tales of lonely trails /,"Grey, Zane,",4/20/2016,9/22/2017,3
2.04091E+14,LT BAIN,"Murder, she wrote : the ghost and Mrs. Fletcher /","Bain, Donald,",3/17/2021,1/1/1900,0
2.04091E+14,LT EVAN,The husband list /,"Evanovich, Janet",2/21/2013,2/21/2020,22
2.04091E+14,LT GARL,Keep a little secret /,"Garlock, Dorothy.",4/26/2011,9/30/2020,33
2.04091E+14,LT 304.2 GOOD,The book of hope : a survival guide for trying times /,"Goodall, Jane,",2/16/2022,1/1/1900,0
2.04091E+14,LT 814.54 SEDA,Happy-go-lucky /,"Sedaris, David,",7/12/2022,1/1/1900,0
2.04091E+14,LT ABLO,The architect /,"Ablow, Keith R.,",6/14/2021,1/1/1900,0
2.04091E+14,LT ALBE,Indigo dying /,"Albert, Susan Wittig,",5/21/2003,1/23/2021,20
2.04091E+14,LT ALBE,The last chance Olive Ranch /,"Albert, Susan Wittig,",3/17/2021,1/1/1900,0
2.04091E+14,LT ALBE,The Darling Dahlias and the voodoo Lily /,"Albert, Susan Wittig,",12/13/2021,1/1/1900,0
2.04091E+14,LT ALEX,A terrible beauty : a Lady Emily mystery /,"Alexander, Tasha,",7/13/2017,1/24/2018,9
2.04091E+14,LT ANDR,Who is Maud Dixon? : a novel /,"Andrews, Alexandra,",12/30/2021,1/1/1900,0
2.04091E+14,LT APEL,To the edge of sorrow /,"Apelfeld, Aharon,",9/10/2021,1/1/1900,0
2.04091E+14,LT ARMS,Prodigies /,"Armstrong, Bob,",12/30/2021,1/1/1900,0
2.04091E+14,LT ASPR,Myth-ing persons /,"Asprin, Robert",6/3/2021,1/1/1900,0
2.04091E+14,LT ATHE,Aunt Dimity and the King's ransom /,"Atherton, Nancy",3/16/2021,1/1/1900,0
2.04091E+14,LT ATHE,Aunt Dimity and the widow's curse /,"Atherton, Nancy",3/16/2021,1/1/1900,0
2.04091E+14,LT B K,Beartown /,"Bkman, Fredrik,",6/20/2022,1/1/1900,0
2.04091E+14,LT BALO,Someone to remember /,"Balogh, Mary,",2/4/2020,10/2/2020,0
2.04091E+14,LT BALO,Someone to cherish /,"Balogh, Mary,",7/14/2021,1/1/1900,0
2.04091E+14,LT BARR,High country /,"Barr, Nevada,",10/25/2004,11/4/2020,31
2.04091E+14,LT BEAT,"Love, lies, and liquor :","Beaton, M. C.",2/5/2007,3/11/2020,40
2.04091E+14,LT BELL,My darling husband /,"Belle, Kimberly,",3/23/2022,1/1/1900,0
2.04091E+14,LT BELL,A healer's promise /,"Beller, Misty M.,",6/28/2022,1/1/1900,0
2.04091E+14,LT BLY,Strangers & pilgrims /,"Bly, Stephen A.,",12/20/2006,9/30/2020,28
2.04091E+14,LT BRAN,Ralph Compton : drive for independence /,"Brandt, Lyle,",12/3/2021,1/1/1900,0
2.04091E+14,LT BRAN,The wolf hunt : a tale of the Texas badlands /,"Brandon, Will,",11/17/2021,1/1/1900,0
2.04091E+14,LT BROO,The pistoleros : a Western trio /,"Brooks, Bill,",12/3/2021,1/1/1900,0
2.04091E+14,LT BROW,Iron wolf /,"Brown, Dale,",10/13/2015,12/28/2017,7
2.04091E+14,LT BROW,White hot /,"Brown, Sandra,",6/7/2021,1/1/1900,0
2.04091E+14,LT BROW,Countdown to midnight /,"Brown, Dale,",5/31/2022,1/1/1900,0
2.04091E+14,LT BURN,The fortunes and vicissitudes of Stern Whitman,"Burnett, Derek,",11/16/2021,1/1/1900,0
2.04091E+14,LT CARR,Bring me home for Christmas /,"Carr, Robyn",1/31/2022,1/1/1900,0
2.04091E+14,LT CAST,Guild boss /,"Castle, Jayne",2/25/2022,1/1/1900,0
2.04091E+14,LT CHAM,Tuscan holiday /,"Chamberlin, Holly,",6/29/2022,1/1/1900,0
2.04091E+14,LT CHIL,Deep Storm : a novel /,"Child, Lincoln. ",6/7/2021,1/1/1900,0
2.04091E+14,LT CHRI,Ordeal by innocence /,"Christie, Agatha,",3/17/2021,1/1/1900,0
2.04091E+14,LT CLIP,The view from Coral Cove /,"Clipston, Amy,",6/28/2022,1/1/1900,0
2.04091E+14,LT COLT,Grasshoppers in summer /,"Colt, Paul,",12/3/2021,1/1/1900,0
2.04091E+14,LT COLV,Africaville /,"Colvin, Jeffrey",3/15/2022,1/1/1900,0
2.04091E+14,LT COMP,Ralph Compton : Calvert's last bluff /,"Compton, Ralph,",7/7/2021,1/1/1900,0
2.04091E+14,LT COMP,Ralph Compton : terror trail /,"Brandt, Lyle,",3/31/2022,1/1/1900,0
2.04091E+14,LT CONN,The unexpected champion /,"Connealy, Mary",3/17/2021,1/1/1900,0
2.04091E+14,LT COOK,Shock /,"Cook, Robin,",3/24/2022,1/1/1900,0
2.04091E+14,LT COOP,The woman in the green dress /,"Cooper, Tea,",8/2/2022,1/1/1900,0
2.04091E+14,LT COPE,Bluebonnet belle /,"Copeland, Lori,",7/16/2021,1/1/1900,0
2.04091E+14,LT COSB,Razorblade tears /,"Cosby, S. A.,",11/29/2021,1/1/1900,0
2.04091E+14,LT COST,What's mine and yours : a novel /,"Coster, Naima,",12/14/2021,1/1/1900,0
2.04091E+14,LT COWL,The paper palace /,"Cowley Heller, Miranda,",11/15/2021,1/1/1900,0
2.04091E+14,LT CUSS,Lost city : a novel from the Numa files /,"Cussler, Clive",10/21/2004,3/4/2020,27
2.04091E+14,LT CUSS,The navigator : a novel from the Numa files /,"Cussler, Clive",7/5/2007,2/21/2020,25
2.04091E+14,LT CUSS,Medusa /,"Cussler, Clive",6/24/2009,9/30/2020,22
2.04091E+14,LT CUSS,The silent sea : a novel of the Oregon files /,"Cussler, Clive",5/5/2010,2/25/2020,10
2.04091E+14,LT DAVI,Dark tort /,"Davidson, Diane Mott,",4/20/2006,9/30/2020,21
2.04091E+14,LT DAVI,A haven for Christmas /cPatricia Davids.,"Davids, Patricia,",12/30/2021,1/1/1900,0
2.04091E+14,LT DAVI,Deputized /,"Davis, T. L.,",11/19/2021,1/1/1900,0
2.04091E+14,LT DEAV,The steel kiss : a Lincoln Rhyme novel /,"Deaver, Jeffery",4/18/2016,3/12/2020,10
2.04091E+14,LT DEAV,The burial hour : a Lincoln Rhyme novel /,"Deaver, Jeffery",5/1/2017,10/16/2020,10
2.04091E+14,LT DICK,A tale of two cities,"Dickens, Charles,",1/1/1970,6/19/2020,43
2.04091E+14,LT ELLI,What happened on Beale Street /,"Ellis, Mary,",11/29/2018,9/30/2020,3
2.04091E+14,LT ELLI,Magnolia moonlight /,"Ellis, Mary,",12/12/2018,10/13/2020,0
2.04091E+14,LT ELLI,Sunset in Old Savannah /,"Ellis, Mary,",12/13/2018,5/28/2019,1
2.04091E+14,LT ELLI,Hiding in plain sight /,"Ellis, Mary,",3/30/2021,1/1/1900,0
2.04091E+14,LT ENGE,Infinite country /,"Engel, Patricia,",12/21/2021,1/1/1900,0
2.04091E+14,LT ERDR,The sentence : a novel /,"Erdrich, Louise,",11/15/2021,1/1/1900,0
2.04091E+14,LT EVAN,Lean mean thirteen /,"Evanovich, Janet",8/4/2021,1/1/1900,0
2.04091E+14,LT FAUL,Greenwich Park /,"Faulkner, Katherine,",4/27/2022,1/1/1900,0
2.04091E+14,LT FEEH,Dark blood : a Carpathian novel /,"Feehan, Christine",9/8/2014,10/16/2020,10
2.04091E+14,LT FEEH,Dark tarot /,"Feehan, Christine,",2/10/2022,1/1/1900,0
2.04091E+14,LT FEEH,Lightning game /,"Feehan, Christine,",11/16/2021,1/1/1900,0
2.04091E+14,LT FEEH,Leopard's rage /,"Feehan, Christine,",11/16/2021,1/1/1900,0
2.04091E+14,LT FEEH,Shadow storm /,"Feehan, Christine,",11/16/2021,1/1/1900,0
2.04091E+14,LT FEEH,Reckless Road /,"Feehan, Christine,",11/17/2021,1/1/1900,0
2.04091E+14,LT FISH,Two steps forward /,"Fisher, Suzanne Woods",3/23/2021,1/1/1900,0
2.04091E+14,LT FISH,The moonlight school /,"Fisher, Suzanne Woods,",7/6/2021,1/1/1900,0
2.04091E+14,LT FRAN,The legacy of Merton Manor /,"Francis, Dorothy Brenner,",6/2/2021,1/1/1900,0
2.04091E+14,LT FRAN,Mistress of the art of death /,"Franklin, Ariana,",6/3/2021,1/1/1900,0
2.04091E+14,LT FYFF,Where the wind blows /,"Fyffe, Caroline,",6/4/2021,1/1/1900,0
2.04091E+15,LT GALB,Career of evil /,"Galbraith, Robert",10/19/2015,10/15/2017,18
2.04091E+14,LT GALB,The silkworm /,"Galbraith, Robert",7/7/2014,10/16/2020,20
2.04091E+14,LT GALB,Lethal white /,"Galbraith, Robert",3/28/2022,1/1/1900,0
2.04091E+14,LT GARD,The case of the moth-eaten mink /,"Gardner, Erle Stanley,",5/4/1994,11/21/2016,35
2.04091E+14,LT GARL,Take me home /,"Garlock, Dorothy,",7/7/2014,9/30/2020,23
2.04091E+14,LT GRAF,L is for lawless /,"Grafton, Sue,",4/13/2021,1/1/1900,0
2.04091E+14,LT GRAH,Ghost night /,"Graham, Heather",8/31/2010,9/30/2020,50
2.04091E+14,LT GRAH,The killing edge /,"Graham, Heather.",5/12/2010,9/30/2020,21
2.04091E+14,LT GRAH,The death dealer /,"Graham, Heather",8/4/2008,9/30/2020,31
2.04091E+14,LT GRAH,Nightwalker /,"Graham, Heather",4/14/2009,9/30/2020,34
2.04091E+14,LT GRAH,Ghost shadow /,"Graham, Heather",7/29/2010,11/4/2020,61
2.04091E+14,LT GRAH,Let the dead sleep /,"Graham, Heather",4/16/2013,9/30/2020,45
2.04091E+14,LT GRAH,Waking the dead /,"Graham, Heather",4/4/2014,10/16/2020,32
2.04091E+14,LT GRAH,Darkest journey /,"Graham, Heather",10/26/2016,10/16/2020,14
2.04091E+14,LT GRAH,The summoning /,"Graham, Heather",6/19/2019,1/4/2021,1
2.04091E+14,LT GRAH,The seekers /,"Graham, Heather",8/30/2019,1/4/2021,0
2.04091E+14,LT GRAH,The forbidden /,"Graham, Heather",11/15/2021,1/1/1900,0
2.04091E+14,LT GRAM,The Christie affair /,"Gramont, Nina de",2/21/2022,1/1/1900,0
2.04091E+14,LT GRAY,A Christmas courtship /,"Gray, Shelley Shepard,",1/13/2022,1/1/1900,0
2.04091E+14,LT GREE,Irish cream /,"Greeley, Andrew M.,",6/16/2005,3/12/2020,25
2.04091E+14,LT GREE,Irish stew : a Nuala Anne McGrail novel /,"Greeley, Andrew M.,",6/28/2005,10/16/2020,26
2.04091E+14,LT GREE,The archbishop in Andalusia /,"Greeley, Andrew M.,",1/29/2009,9/30/2020,19
2.04091E+14,LT GREE,Second spring : a love story /,"Greeley, Andrew M.,",6/15/2021,1/1/1900,0
2.04091E+14,LT GUDE,The overnight guest /,"Gudenkauf, Heather,",2/22/2022,1/1/1900,0
2.04091E+14,LT HARR,Rebecca's heart : an old-fashioned romance blooms in the heart of New England /,"Harris, Lisa,",7/14/2021,1/1/1900,0
2.04091E+14,LT HARR,The sweetness of water /,"Harris, Nathan",7/12/2021,1/1/1900,0
2.04091E+14,LT HAWK,Reckless girls /,"Hawkins, R hel,",1/24/2022,1/1/1900,0
2.04091E+14,LT HEAT,Never fall for your fiancée /,"Heath, Virginia,",3/31/2022,1/1/1900,0
2.04091E+14,LT HEND,True courage /,"Henderson, Dee,",5/25/2005,9/30/2020,39
2.04091E+14,LT HEND,The truth seeker /,"Henderson, Dee,",7/19/2006,1/13/2021,50
2.04091E+14,LT HEND,The protector /,"Henderson, Dee,",6/2/2021,1/1/1900,0
2.04091E+14,LT HEND,The final girl support group /,"Hendrix, Grady,",11/16/2021,1/1/1900,0
2.04091E+14,LT HEND,The golden couple /,"Hendricks, Greer,",3/24/2022,1/1/1900,0
2.04091E+14,LT HESS,Muletrain to Maggody : an Arly Hanks mystery /,"Hess, Joan,",7/19/2004,10/16/2020,34
2.04091E+14,LT HIGG,The wolf at the door /,"Higgins, J k,",3/2/2010,10/16/2020,29
2.04091E+14,LT HIGG,Rough justice /,"Higgins, J k,",9/28/2018,3/4/2020,2
2.04091E+14,LT HIGG,The midnight bell /,"Higgins, J k,",1/24/2017,10/16/2020,10
2.04091E+14,LT HILL,The J k of justice /,"Hill, Sam,",11/16/2021,1/1/1900,0
2.04091E+14,LT HINS,The Fontainebleau fan /,"Hinshaw, Victoria,",6/16/2021,1/1/1900,0
2.04091E+14,LT HOFF,The probable future /,"Hoffman, Alice,",10/15/2018,9/30/2020,2
2.04091E+14,LT HOFF,Magic lessons /,"Hoffman, Alice,",6/24/2021,1/1/1900,0
2.04091E+14,LT HOLL,The sand castle /,"Hollenbeck, K. S.,",11/18/2021,1/1/1900,0
2.04091E+14,LT HONE,Eleanor Oliphant is completely fine /,"Honeyman, Gail",2/15/2019,9/30/2020,5
2.04091E+14,LT HOYT,To seduce a sinner /,"Hoyt, Elizabeth,",6/17/2021,1/1/1900,0
2.04091E+14,LT HUNT,Secrets of surrender /,"Hunter, Madeline,",6/16/2021,1/1/1900,0
2.04091E+14,LT HUNT,The exiles /,"Hunt, Greg,",3/23/2021,1/1/1900,0
2.04091E+14,LT HUNT,B ktrail /,"Hunt, Greg,",3/24/2021,1/1/1900,0
2.04091E+14,LT HUNT,Dewitt's strike : a Ridge Parkman western /,"Hunt, Greg,",4/1/2021,1/1/1900,0
2.04091E+14,LT HURW,Out of the dark /,"Hurwitz, Gregg",3/18/2021,1/1/1900,0
